gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	stage_region	stage	region
SCRG1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.58916	0	0.254	1.72779	0.603	0.349	0.34099	mid_msp	mid	msp
ACAA1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.58303	0	0.315	2.22092	0.573	0.258	0.26252	mid_msp	mid	msp
FAM181B	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.57916	0	0.241	1.73475	0.569	0.328	0.33386	mid_msp	mid	msp
NRXN1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.57803	0	0.292	1.46945	0.914	0.622	0.39336	mid_msp	mid	msp
FAM219A	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.57349000000000006	0	0.268	2.09387	0.513	0.245	0.27389	mid_msp	mid	msp
CYR61	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.57348	9.9e-4	0.186	1.5688	0.513	0.327	0.36556	mid_msp	mid	msp
ANKRD9	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.5714	0	0.283	2.04427	0.554	0.271	0.27951	mid_msp	mid	msp
FAM134B	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.57126	0	0.28	2.28439	0.498	0.218	0.25007	mid_msp	mid	msp
BNIP3	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.56537	0	0.326	1.76346	0.753	0.427	0.3206	mid_msp	mid	msp
DBI	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.56359	0	0.171	1.21591	0.963	0.792	0.46351	mid_msp	mid	msp
ENHO	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.56156	0	0.326	1.67494	0.809	0.483	0.33527	mid_msp	mid	msp
KDELR1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.55982	0	0.323	1.83896	0.708	0.385	0.30442	mid_msp	mid	msp
EMC2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.55741	0	0.272	2.1102	0.517	0.245	0.26415	mid_msp	mid	msp
SLC25A5	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.55727	0	0.259	1.44349	0.843	0.584	0.38606	mid_msp	mid	msp
GPM6B	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.55423	0	0.222	1.31223	0.933	0.711	0.42235	mid_msp	mid	msp
CHST10	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.54954	0	0.277	1.89067	0.588	0.311	0.29066	mid_msp	mid	msp
SPARCL1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.54932	0.07854	0.116	1.99998	0.232	0.116	0.27466	mid_msp	mid	msp
TNC	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.54605	0	0.261	2.10126	0.498	0.237	0.25987	mid_msp	mid	msp
CDO1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.54553	0	0.241	1.38133	0.873	0.632	0.39493	mid_msp	mid	msp
HES4	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.54297	0	0.288	1.6	0.768	0.48	0.33936	mid_msp	mid	msp
LIMCH1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.5419	0	0.276	2.09523	0.528	0.252	0.25864	mid_msp	mid	msp
PLPP3	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.53729	0	0.312	1.85245	0.678	0.366	0.29004	mid_msp	mid	msp
ZSCAN16-AS1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.53704	0	0.255	2.11841	0.483	0.228	0.25351	mid_msp	mid	msp
ACAA2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.5358	0	0.303	2.00999	0.603	0.3	0.26657	mid_msp	mid	msp
FSTL1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.53073	0	0.263	1.87959	0.562	0.299	0.28237	mid_msp	mid	msp
RP11-436D23.1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.52937	0	0.266	2.10832	0.506	0.24	0.25108	mid_msp	mid	msp
MPPED2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.52772	0	0.332	1.85788	0.719	0.387	0.28405	mid_msp	mid	msp
RPN2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.51547	0	0.302	1.66373	0.757	0.455	0.30983	mid_msp	mid	msp
HEPACAM	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.51525	0	0.304	1.87356	0.652	0.348	0.27501	mid_msp	mid	msp
CRH	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.51192	1	0.084	1.68851	0.206	0.122	0.30318	mid_msp	mid	msp
CD151	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.5105	0	0.329	1.94269	0.678	0.349	0.26278	mid_msp	mid	msp
CNP	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.50967	0	0.218	1.9909	0.438	0.22	0.256	mid_msp	mid	msp
HSP90B1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.5071	0	0.316	1.64097	0.809	0.493	0.30902	mid_msp	mid	msp
NFE2L2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.50691	0	0.289	1.68973	0.708	0.419	0.29999	mid_msp	mid	msp
NES	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.50595	0.01857	0.152	1.68161	0.375	0.223	0.30087	mid_msp	mid	msp
DARS	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.50294	0	0.312	1.83646	0.685	0.373	0.27386	mid_msp	mid	msp
DYNC1I2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.49849	0	0.328	1.57848	0.895	0.567	0.3158	mid_msp	mid	msp
TSPAN6	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.49821	0	0.312	1.86187	0.674	0.362	0.26759	mid_msp	mid	msp
LAMP1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.49625	0	0.327	1.95335	0.67	0.343	0.25405	mid_msp	mid	msp
SFRP2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.4962	0	0.244	1.93129	0.506	0.262	0.25692	mid_msp	mid	msp
ADGRV1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.48753	0	0.277	1.70483	0.67	0.393	0.28597	mid_msp	mid	msp
TMCO1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.48742	0	0.35	1.73839	0.824	0.474	0.28039	mid_msp	mid	msp
PAX6	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.48342	0	0.354	1.76623	0.816	0.462	0.2737	mid_msp	mid	msp
SSB	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.48131	0	0.348	1.69322	0.85	0.502	0.28426	mid_msp	mid	msp
FABP7	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.48038	2.1e-4	0.007	1.00705	1	0.993	0.47702	mid_msp	mid	msp
POLR2L	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.47985	0	0.296	1.5606	0.824	0.528	0.30748	mid_msp	mid	msp
HOPX	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.47829	0	0.227	1.40319	0.79	0.563	0.34086	mid_msp	mid	msp
HADHB	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.47816	0	0.279	1.87187	0.599	0.32	0.25545	mid_msp	mid	msp
SEPT2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.4763	0	0.321	1.63817	0.824	0.503	0.29075	mid_msp	mid	msp
ABCD3	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.47595	0	0.282	1.779	0.644	0.362	0.26754	mid_msp	mid	msp
C1orf122	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.47425	0	0.317	1.65904	0.798	0.481	0.28586	mid_msp	mid	msp
ZFP36L2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.47058	0	0.264	1.74576	0.618	0.354	0.26956	mid_msp	mid	msp
ID4	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.46908	0	0.289	1.5115	0.854	0.565	0.31034	mid_msp	mid	msp
POU3F3	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.46054	0	0.299	1.68109	0.738	0.439	0.27396	mid_msp	mid	msp
LRPAP1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.45727	0	0.289	1.78961	0.655	0.366	0.25551	mid_msp	mid	msp
LEPROT	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.45675	0	0.26	1.78313	0.592	0.332	0.25615	mid_msp	mid	msp
HIGD1A	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.45613	0	0.296	1.76683	0.682	0.386	0.25816	mid_msp	mid	msp
KRTCAP2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.45585	0	0.286	1.75862	0.663	0.377	0.25921	mid_msp	mid	msp
CLIC1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.45153	0	0.285	1.71788	0.682	0.397	0.26284	mid_msp	mid	msp
NFIA	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.45053	0	0.322	1.55806	0.899	0.577	0.28916	mid_msp	mid	msp
UGP2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.45004	0	0.261	1.74785	0.61	0.349	0.25748	mid_msp	mid	msp
SCP2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.44633	0	0.29	1.68235	0.715	0.425	0.2653	mid_msp	mid	msp
IFI27L2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.44614	0	0.312	1.65684	0.787	0.475	0.26927	mid_msp	mid	msp
UBXN4	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.44512	0	0.304	1.70046	0.738	0.434	0.26176	mid_msp	mid	msp
TFPI	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.44117	0	0.218	1.71947	0.521	0.303	0.25658	mid_msp	mid	msp
TSPAN5	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.43887	0	0.337	1.68218	0.831	0.494	0.2609	mid_msp	mid	msp
HSPB1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.43366	0	0.324	1.62069	0.846	0.522	0.26758	mid_msp	mid	msp
SPARC	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.42967	0	0.249	1.71142	0.599	0.35	0.25106	mid_msp	mid	msp
TTYH1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.42939	2e-5	0.166	1.24269	0.85	0.684	0.34553	mid_msp	mid	msp
RCN2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.40667	0	0.234	1.3578	0.888	0.654	0.29951	mid_msp	mid	msp
EZR	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.40349	0	0.31	1.57836	0.846	0.536	0.25564	mid_msp	mid	msp
LINC00461	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.40293	0	0.255	1.42571	0.854	0.599	0.28261	mid_msp	mid	msp
RHEB	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.3992	0	0.273	1.43128	0.906	0.633	0.27891	mid_msp	mid	msp
SEC62	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.39745	0	0.275	1.45757	0.876	0.601	0.27268	mid_msp	mid	msp
CD63	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.39737	0	0.28	1.45826	0.891	0.611	0.27249	mid_msp	mid	msp
GNG5	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.39584	0	0.317	1.55516	0.888	0.571	0.25453	mid_msp	mid	msp
CLNS1A	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.39365	0	0.301	1.55948	0.839	0.538	0.25242	mid_msp	mid	msp
HMGN3	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.37591	0	0.194	1.26252	0.933	0.739	0.29775	mid_msp	mid	msp
SRI	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.37557	0	0.281	1.44392	0.914	0.633	0.26011	mid_msp	mid	msp
SFRP1	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.36998	0	0.169	1.23407	0.891	0.722	0.29981	mid_msp	mid	msp
CD81	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.36634	0	0.201	1.28033	0.918	0.717	0.28613	mid_msp	mid	msp
SOX2	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.33836	0	0.207	1.29614	0.906	0.699	0.26105	mid_msp	mid	msp
CNN3	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.3371	0	0.233	1.3421400000000001	0.914	0.681	0.25117	mid_msp	mid	msp
JUN	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.33659	0.05404	0.09	1.10453	0.951	0.861	0.30473	mid_msp	mid	msp
VIM	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.31586	0	0.053	1.05754	0.974	0.921	0.29868	mid_msp	mid	msp
PTN	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.31535	0.65762	0.042	1.0458	0.959	0.917	0.30154	mid_msp	mid	msp
FABP5	mid_motor	motor	rg_mid	rg_msp	rg	gw19_2	0.27063	0.57443	0.023	1.02418	0.974	0.951	0.26424	mid_msp	mid	msp
NKX2-1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	86.07766	0	0.402	101.47463	0.406	0.004	0.84827	mid_msp	mid	msp
SFTA3	mid_motor	motor	rg_mid	rg_msp	rg	gw20	66.94526	0	0.18	180.81918	0.181	0.001	0.37023	mid_msp	mid	msp
EFEMP1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	20.23037	0	0.135	68.46577	0.137	0.002	0.29548	mid_msp	mid	msp
LMO1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	19.47263	0	0.364	22.41045	0.381	0.017	0.86891	mid_msp	mid	msp
RP3-395M20.12	mid_motor	motor	rg_mid	rg_msp	rg	gw20	17.08133	0	0.276	22.22906	0.289	0.013	0.76842	mid_msp	mid	msp
CRABP1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	15.18032	0	0.124	42.31923	0.127	0.003	0.35871	mid_msp	mid	msp
KLF4	mid_motor	motor	rg_mid	rg_msp	rg	gw20	8.11581	0	0.218	13.82272	0.235	0.017	0.58714	mid_msp	mid	msp
LYPD1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	5.14165	0	0.549	4.47466	0.707	0.158	1.14906	mid_msp	mid	msp
RIC3	mid_motor	motor	rg_mid	rg_msp	rg	gw20	4.99357	0	0.341	5.73603	0.413	0.072	0.87056	mid_msp	mid	msp
MGST1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	4.86131	0	0.303	7.44665	0.35	0.047	0.65282	mid_msp	mid	msp
AK5	mid_motor	motor	rg_mid	rg_msp	rg	gw20	3.60571	0	0.195	10.74946	0.215	0.02	0.33543	mid_msp	mid	msp
GSX2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	3.59432	0	0.198	9.99955	0.22	0.022	0.35945	mid_msp	mid	msp
SIX3	mid_motor	motor	rg_mid	rg_msp	rg	gw20	3.42064	0	0.139	11.69141	0.152	0.013	0.29258	mid_msp	mid	msp
FAM181A	mid_motor	motor	rg_mid	rg_msp	rg	gw20	3.14326	0	0.283	5.42179	0.347	0.064	0.57975	mid_msp	mid	msp
COL1A2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	2.9506	0	0.16	7.95618	0.183	0.023	0.37086	mid_msp	mid	msp
LIX1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	2.7192	0	0.288	4.09673	0.381	0.093	0.66375	mid_msp	mid	msp
RGR	mid_motor	motor	rg_mid	rg_msp	rg	gw20	2.21502	0	0.121	8.56196	0.137	0.016	0.25871	mid_msp	mid	msp
PLXDC2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	2.21197	0	0.165	5.34196	0.203	0.038	0.41407	mid_msp	mid	msp
JUNB	mid_motor	motor	rg_mid	rg_msp	rg	gw20	2.06281	0	0.428	2.19219	0.787	0.359	0.94098	mid_msp	mid	msp
NTN4	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.81237	0	0.216	3.6341	0.298	0.082	0.49871	mid_msp	mid	msp
GJA1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.76646	0	0.215	3.75636	0.293	0.078	0.47026	mid_msp	mid	msp
OLIG2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.71922	0	0.167	4.03629	0.222	0.055	0.42594	mid_msp	mid	msp
C8orf46	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.71162	0	0.097	6.38853	0.115	0.018	0.26792	mid_msp	mid	msp
RARRES2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.69506	0	0.327	2.36249	0.567	0.24	0.71749	mid_msp	mid	msp
NTRK2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.68572	0	0.225	2.35541	0.391	0.166	0.71568	mid_msp	mid	msp
DLX2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.67789	0	0.257	2.99222	0.386	0.129	0.56075	mid_msp	mid	msp
WLS	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.6367	0	0.289	2.19421	0.531	0.242	0.74592	mid_msp	mid	msp
PTPRE	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.60552	0	0.101	5.80925	0.122	0.021	0.27637	mid_msp	mid	msp
TMEM45A	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.60296	0	0.118	5.53825	0.144	0.026	0.28943	mid_msp	mid	msp
MEG3	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.58734	0	0.278	2.71603	0.44	0.162	0.58443	mid_msp	mid	msp
SEPP1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.58526	0	0.354	1.7269	0.841	0.487	0.91798	mid_msp	mid	msp
PLK2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.57841	0	0.215	2.31096	0.379	0.164	0.68301	mid_msp	mid	msp
SOX5	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.53349	0	0.262	2.85814	0.403	0.141	0.53654	mid_msp	mid	msp
BTG2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.53294	0	0.33	1.86614	0.711	0.381	0.82145	mid_msp	mid	msp
HSPA2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.52323	0	0.271	2.70439	0.43	0.159	0.56324	mid_msp	mid	msp
PID1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.47466	0	0.255	2.74656	0.401	0.146	0.53691	mid_msp	mid	msp
ADIRF	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.46728	0	0.112	4.49986	0.144	0.032	0.32607	mid_msp	mid	msp
TLE3	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.4454	0	0.178	2.76235	0.279	0.101	0.52325	mid_msp	mid	msp
NNAT	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.4183	0	0.12	1.13667	0.998	0.878	1.24777	mid_msp	mid	msp
CITED2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.38974	0	0.275	2.1752	0.509	0.234	0.6389	mid_msp	mid	msp
CDC42EP4	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.32692	0	0.282	2.33018	0.494	0.212	0.56945	mid_msp	mid	msp
DLGAP1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.31856	0	0.195	3.2674	0.281	0.086	0.40355	mid_msp	mid	msp
SNCG	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.28452	0	0.082	4.56502	0.105	0.023	0.28138	mid_msp	mid	msp
MAFF	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.27944	0	0.255	2.32811	0.447	0.192	0.54956	mid_msp	mid	msp
COL9A1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.2268	0	0.168	3.33329	0.24	0.072	0.36805	mid_msp	mid	msp
BRINP3	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.21116	0	0.141	3.27414	0.203	0.062	0.36992	mid_msp	mid	msp
HSD17B11	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.1688	0	0.205	2.34867	0.357	0.152	0.49765	mid_msp	mid	msp
NES	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.13603	0	0.226	2.25554	0.406	0.18	0.50366	mid_msp	mid	msp
CCNB2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.1248	0	0.104	4.46652	0.134	0.03	0.25183	mid_msp	mid	msp
FBLN5	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.07803	0	0.13	2.96965	0.196	0.066	0.36302	mid_msp	mid	msp
ZFP36L2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.07189	0	0.294	1.72592	0.699	0.405	0.62105	mid_msp	mid	msp
MEST	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.01082	0	0.276	1.87341	0.592	0.316	0.53956	mid_msp	mid	msp
UBE2C	mid_motor	motor	rg_mid	rg_msp	rg	gw20	1.00816	0	0.156	3.64401	0.215	0.059	0.27666	mid_msp	mid	msp
PLIN5	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.99505999999999994	0	0.129	2.92533	0.196	0.067	0.34015	mid_msp	mid	msp
BAG2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.98348	0	0.129	3.63258	0.178	0.049	0.27074	mid_msp	mid	msp
SNHG18	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.98341	0	0.148	2.66289	0.237	0.089	0.3693	mid_msp	mid	msp
MUM1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.97415	0	0.255	1.94095	0.526	0.271	0.50189	mid_msp	mid	msp
PCDH17	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.96397	0	0.144	2.8947	0.22	0.076	0.33301	mid_msp	mid	msp
ACSS1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.94835	0	0.155	2.59791	0.252	0.097	0.36504	mid_msp	mid	msp
PPP1R15A	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.94488	0	0.246	1.72781	0.584	0.338	0.54687	mid_msp	mid	msp
TFDP2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.94262	0	0.205	1.86134	0.443	0.238	0.50642	mid_msp	mid	msp
RGS6	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.9323	0	0.12	3.60862	0.166	0.046	0.25835	mid_msp	mid	msp
SLC25A5	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.90467	0	0.224	1.33888	0.885	0.661	0.67569	mid_msp	mid	msp
FSTL5	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.90139	0	0.211	1.81782	0.469	0.258	0.49586	mid_msp	mid	msp
WWTR1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.89586	0	0.238	2.12263	0.45	0.212	0.42205	mid_msp	mid	msp
PABPC1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.85504	0	0.229	1.34281	0.897	0.668	0.63675	mid_msp	mid	msp
CCND2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.85216	0	0.229	1.48931	0.697	0.468	0.57218	mid_msp	mid	msp
TCF7	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.85051	0	0.155	2.8235	0.24	0.085	0.30123	mid_msp	mid	msp
RHOBTB3	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.83782	0	0.227	1.75415	0.528	0.301	0.47762	mid_msp	mid	msp
TYRO3	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.83052	0	0.106	2.47219	0.178	0.072	0.33595	mid_msp	mid	msp
PSD3	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.82809	0	0.17	2.4655	0.286	0.116	0.33587	mid_msp	mid	msp
ANKRD6	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.82542	0	0.112	2.96486	0.169	0.057	0.2784	mid_msp	mid	msp
RSL1D1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.78814	0	0.216	1.43373	0.714	0.498	0.54971	mid_msp	mid	msp
GAD2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.78535	0	0.132	2.69227	0.21	0.078	0.2917	mid_msp	mid	msp
RORB	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.77664	0	0.192	2.09713	0.367	0.175	0.37033	mid_msp	mid	msp
FXYD1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.77652	0	0.214	1.88796	0.455	0.241	0.4113	mid_msp	mid	msp
CPE	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.77124	0	0.097	1.14521	0.765	0.668	0.67345	mid_msp	mid	msp
ST5	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.77011	0	0.149	1.80977	0.333	0.184	0.42553	mid_msp	mid	msp
HNRNPA1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.74467	0	0.056	1.05945	0.998	0.942	0.70288	mid_msp	mid	msp
FLRT2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.74192	3e-5	0.074	2.94729	0.112	0.038	0.25173	mid_msp	mid	msp
MAL2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.73942	0	0.158	2.39821	0.271	0.113	0.30832	mid_msp	mid	msp
CCDC181	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.73625	0	0.156	2.24798	0.281	0.125	0.32751	mid_msp	mid	msp
MLLT1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.7289	0	0.132	2.19998	0.242	0.11	0.33132	mid_msp	mid	msp
WSB1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.72694	0	0.197	1.29142	0.873	0.676	0.5629	mid_msp	mid	msp
SPARC	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.72413	0	0.22	1.60773	0.582	0.362	0.45041	mid_msp	mid	msp
MAGEH1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.71527	0	0.184	1.46819	0.577	0.393	0.48718	mid_msp	mid	msp
CADM1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.70417	0	0.159	2.01922	0.315	0.156	0.34874	mid_msp	mid	msp
TIMP3	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.70304	0	0.145	1.4754	0.45	0.305	0.47651	mid_msp	mid	msp
GPT2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.69593	0	0.155	1.91175	0.325	0.17	0.36403	mid_msp	mid	msp
NKAIN4	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.69589	0	0.209	1.64506	0.533	0.324	0.42302	mid_msp	mid	msp
CORO1C	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.69288	0	0.136	2.02254	0.269	0.133	0.34258	mid_msp	mid	msp
MB21D2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.69173	0	0.111	2.76186	0.174	0.063	0.25046	mid_msp	mid	msp
CNBP	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.68922	0	0.203	1.33333	0.812	0.609	0.51691	mid_msp	mid	msp
MSI2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.68766	0	0.174	1.65908	0.438	0.264	0.41448	mid_msp	mid	msp
GLTSCR2	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.67306	0	0.181	1.27932	0.829	0.648	0.52611	mid_msp	mid	msp
NR2E1	mid_motor	motor	rg_mid	rg_msp	rg	gw20	0.67234	0	0.164	1.68619	0.403	0.239	0.39873	mid_msp	mid	msp
