gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	stage_region	stage	region
LY6H	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.35663	1	0.106	1.39552	0.374	0.268	0.25555	early_pfc	early	pfc
CSNK2B	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.35597	0	0.141	1.28032	0.644	0.503	0.27804	early_pfc	early	pfc
PSMD6	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.35525	0	0.091	1.26608	0.433	0.342	0.28059	early_pfc	early	pfc
RPS13	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.35305	0	0	1	1	1	0.35305	early_pfc	early	pfc
ERH	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.35126	0	0.053	1.0605	0.929	0.876	0.33122	early_pfc	early	pfc
CDO1	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.34854	4e-5	0.109	1.37201	0.402	0.293	0.25403	early_pfc	early	pfc
HMGN3	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.34665	0	0.083	1.12425	0.751	0.668	0.30834	early_pfc	early	pfc
RPL6	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.34658	0	0	1	1	1	0.34658	early_pfc	early	pfc
GABARAPL2	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.3456	0	0.044	1.05046	0.916	0.872	0.329	early_pfc	early	pfc
ALKBH7	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.34513	0	0.104	1.19082	0.649	0.545	0.28982	early_pfc	early	pfc
DCTN3	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.34457	0	0.075	1.10108	0.817	0.742	0.31294	early_pfc	early	pfc
MRPS6	early_pfc	pfc	ipc_early	ipc_pfc	ipc	gw16	0.3426	1e-5	0.116	1.31351	0.486	0.37	0.26082	early_pfc	early	pfc
