cl.from	cl.to	Freq	cl.from.total	cl.to.total	odds	pval.log	frac	cl.from.label	cl.to.label
42	44	43049	448274	506458	0.742959086532036	-0	0.09603278352079309	neuron_6	neuron_8
43	44	16313	171309	506458	0.7367141946380238	-0	0.09522558651325967	neuron_7	neuron_8
44	44	361925	501093	506458	5.587861440740976	-613771.103750022	0.7222711153418627	neuron_8	neuron_8
45	44	12398	377351	506458	0.25418593054860533	-0	0.03285535217874075	neuron_9	neuron_8
46	44	3	1215	506458	0.019102506592749285	-1.4795330938509867e-69	0.0024691358024691358	opc_1	neuron_8
49	44	2	375	506458	0.041261414240338454	-1.6253159364823307e-21	0.005333333333333333	opc_12	neuron_8
50	44	1	165	506458	0.04688797072765734	-1.2067370171613854e-10	0.006060606060606061	opc_13	neuron_8
53	44	43	11970	506458	0.027791992674413433	-0	0.003592314118629908	opc_3	neuron_8
54	44	3	838	506458	0.02769635502409353	-3.290361770188024e-47	0.003579952267303103	opc_4	neuron_8
55	44	73	770	506458	0.7334618278112112	-0.0012766444619373445	0.09480519480519481	opc_5	neuron_8
57	44	6	6913	506458	0.006714753510831876	-0	8.679299869810502e-4	opc_7	neuron_8
58	44	1	2775	506458	0.002787933394617463	-1.3525127825865967e-167	3.6036036036036037e-4	opc_8	neuron_8
59	44	233	87557	506458	0.020587823185179783	-0	0.002661123610904896	opc_9	neuron_8
61	44	1	139657	506458	5.539654417654296e-5	-0	7.160400123158882e-6	rg_10	neuron_8
64	44	12	39779	506458	0.002333849067114848	-0	3.016667085648206e-4	rg_13	neuron_8
71	44	9	15790	506458	0.004409666658047571	-0	5.699810006333122e-4	rg_3	neuron_8
76	44	27	99557	506458	0.0020981539177728683	-0	2.7120142230079253e-4	rg_8	neuron_8
1	45	9	4201	376807	0.022277152755415707	-1.0627218469087542e-168	0.0021423470602237563	cr_1	neuron_9
5	45	6	870	376807	0.0717136541957865	-3.668453061211661e-31	0.006896551724137931	dividing_12	neuron_9
6	45	14	10953	376807	0.013291218663146772	-0	0.0012781886241212453	dividing_2	neuron_9
8	45	3	11621	376807	0.0026844023384534144	-0	2.5815334308579296e-4	dividing_4	neuron_9
10	45	5	82554	376807	6.297986686525815e-4	-0	6.056641713302808e-5	dividing_6	neuron_9
12	45	750	212799	376807	0.03664894991889897	-0	0.0035244526525030663	dividing_8	neuron_9
17	45	31	690	376807	0.4671780805942903	-1.6064925458828738e-7	0.04492753623188406	ipc_12	neuron_9
21	45	41047	330305	376807	1.2922190180206024	-1530.4766126867537	0.12426999288536353	ipc_3	neuron_9
23	45	67	44634	376807	0.015609135423938384	-0	0.0015010978178070528	ipc_5	neuron_9
24	45	2163	153370	376807	0.14665131338394405	-0	0.014103149246919215	ipc_6	neuron_9
25	45	373	135455	376807	0.02863410717344589	-0	0.002753682034624045	ipc_7	neuron_9
