item1	item2	n
rg_msp_early	neuron_pfc_mid	72
rg_msp_early	neuron_temporal_early	13
rg_msp_early	neuron_temporal_late	40
rg_msp_early	neuron_temporal_mid	47
rg_msp_early	neuron_v1_early	47
rg_msp_early	neuron_v1_late	16
rg_msp_early	neuron_v1_mid	79
rg_msp_early	rg_msp_early	236
rg_msp_early	rg_msp_late	73
rg_msp_early	rg_msp_mid	182
rg_msp_early	rg_pfc_early	23
rg_msp_early	rg_pfc_late	23
rg_msp_early	rg_pfc_mid	130
rg_msp_early	rg_temporal_early	7
rg_msp_early	rg_temporal_late	7
rg_msp_early	rg_temporal_mid	54
rg_msp_early	rg_v1_early	65
rg_msp_early	rg_v1_late	14
rg_msp_early	rg_v1_mid	132
rg_msp_late	neuron_msp_early	80
rg_msp_late	neuron_msp_late	133
rg_msp_late	neuron_msp_mid	153
rg_msp_late	neuron_pfc_early	62
rg_msp_late	neuron_pfc_late	31
rg_msp_late	neuron_pfc_mid	86
rg_msp_late	neuron_temporal_early	29
rg_msp_late	neuron_temporal_late	53
rg_msp_late	neuron_temporal_mid	75
rg_msp_late	neuron_v1_early	73
rg_msp_late	neuron_v1_late	36
rg_msp_late	neuron_v1_mid	102
rg_msp_late	rg_msp_early	73
rg_msp_late	rg_msp_late	413
rg_msp_late	rg_msp_mid	269
rg_msp_late	rg_pfc_early	40
rg_msp_late	rg_pfc_late	29
rg_msp_late	rg_pfc_mid	160
rg_msp_late	rg_temporal_early	13
rg_msp_late	rg_temporal_late	20
rg_msp_late	rg_temporal_mid	106
rg_msp_late	rg_v1_early	93
rg_msp_late	rg_v1_late	30
rg_msp_late	rg_v1_mid	186
rg_msp_mid	neuron_msp_early	211
rg_msp_mid	neuron_msp_late	245
rg_msp_mid	neuron_msp_mid	380
rg_msp_mid	neuron_pfc_early	177
rg_msp_mid	neuron_pfc_late	76
rg_msp_mid	neuron_pfc_mid	243
rg_msp_mid	neuron_temporal_early	43
rg_msp_mid	neuron_temporal_late	111
rg_msp_mid	neuron_temporal_mid	173
rg_msp_mid	neuron_v1_early	116
rg_msp_mid	neuron_v1_late	60
rg_msp_mid	neuron_v1_mid	220
rg_msp_mid	rg_msp_early	182
rg_msp_mid	rg_msp_late	269
rg_msp_mid	rg_msp_mid	1209
rg_msp_mid	rg_pfc_early	70
rg_msp_mid	rg_pfc_late	49
rg_msp_mid	rg_pfc_mid	462
rg_msp_mid	rg_temporal_early	38
rg_msp_mid	rg_temporal_late	37
rg_msp_mid	rg_temporal_mid	242
rg_msp_mid	rg_v1_early	214
rg_msp_mid	rg_v1_late	56
rg_msp_mid	rg_v1_mid	462
rg_pfc_early	neuron_msp_early	27
rg_pfc_early	neuron_msp_late	27
rg_pfc_early	neuron_msp_mid	45
rg_pfc_early	neuron_pfc_early	67
rg_pfc_early	neuron_pfc_late	17
rg_pfc_early	neuron_pfc_mid	20
rg_pfc_early	neuron_temporal_early	4
rg_pfc_early	neuron_temporal_late	14
rg_pfc_early	neuron_temporal_mid	31
rg_pfc_early	neuron_v1_early	13
rg_pfc_early	neuron_v1_late	11
rg_pfc_early	neuron_v1_mid	32
rg_pfc_early	rg_msp_early	23
rg_pfc_early	rg_msp_late	40
rg_pfc_early	rg_msp_mid	70
rg_pfc_early	rg_pfc_early	99
rg_pfc_early	rg_pfc_late	10
rg_pfc_early	rg_pfc_mid	45
rg_pfc_early	rg_temporal_early	10
rg_pfc_early	rg_temporal_late	6
rg_pfc_early	rg_temporal_mid	35
rg_pfc_early	rg_v1_early	27
rg_pfc_early	rg_v1_late	8
rg_pfc_early	rg_v1_mid	33
rg_pfc_late	neuron_msp_early	29
rg_pfc_late	neuron_msp_late	31
rg_pfc_late	neuron_msp_mid	42
rg_pfc_late	neuron_pfc_early	10
rg_pfc_late	neuron_pfc_late	21
rg_pfc_late	neuron_pfc_mid	23
rg_pfc_late	neuron_temporal_early	9
rg_pfc_late	neuron_temporal_late	26
rg_pfc_late	neuron_temporal_mid	19
rg_pfc_late	neuron_v1_early	7
rg_pfc_late	neuron_v1_late	4
rg_pfc_late	neuron_v1_mid	19
rg_pfc_late	rg_msp_early	23
rg_pfc_late	rg_msp_late	29
rg_pfc_late	rg_msp_mid	49
rg_pfc_late	rg_pfc_early	10
rg_pfc_late	rg_pfc_late	66
rg_pfc_late	rg_pfc_mid	38
rg_pfc_late	rg_temporal_early	4
rg_pfc_late	rg_temporal_late	7
rg_pfc_late	rg_temporal_mid	20
rg_pfc_late	rg_v1_early	11
rg_pfc_late	rg_v1_late	8
rg_pfc_late	rg_v1_mid	27
rg_pfc_mid	neuron_msp_early	174
rg_pfc_mid	neuron_msp_late	110
rg_pfc_mid	neuron_msp_mid	265
rg_pfc_mid	neuron_pfc_early	107
rg_pfc_mid	neuron_pfc_late	74
rg_pfc_mid	neuron_pfc_mid	209
rg_pfc_mid	neuron_temporal_early	32
rg_pfc_mid	neuron_temporal_late	59
