	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
NF1	0.00138099211734897	0.349194603152645	0.571	0.089	1	motor	NF1
RRP36	0.00138099211734897	0.346747286604691	0.571	0.089	1	motor	RRP36
C9orf78	0.00142211725149245	0.533029900508786	0.857	0.196	1	motor	C9orf78
ACYP2	0.00152575888944761	0.665352975159854	0.714	0.143	1	motor	ACYP2
RAB6B	0.00152575888944761	0.505790420022651	0.714	0.143	1	motor	RAB6B
ANAPC13	0.00152575888944761	0.441720471568864	0.714	0.143	1	motor	ANAPC13
C12orf49	0.00156337300462687	0.547523814878273	0.571	0.089	1	motor	C12orf49
RASD1	0.00156337300462687	0.466880439923638	0.571	0.089	1	motor	RASD1
FARSB	0.00156337300462687	0.433800790264709	0.571	0.089	1	motor	FARSB
FBXW5	0.00156337300462687	0.421331615798913	0.571	0.089	1	motor	FBXW5
FBXO11	0.00156337300462687	0.377895223542561	0.571	0.089	1	motor	FBXO11
NFU1	0.00156337300462687	0.368360016939869	0.571	0.089	1	motor	NFU1
WNK2	0.00156337300462687	0.35687248593873	0.571	0.089	1	motor	WNK2
TRMT11	0.00156337300462687	0.356183971657392	0.571	0.089	1	motor	TRMT11
TARDBP	0.00156337300462687	0.314428774123408	0.571	0.089	1	motor	TARDBP
SWI5	0.00156337300462687	0.303824838740217	0.571	0.089	1	motor	SWI5
NUDCD2	0.00156337300462687	0.282324107533967	0.571	0.089	1	motor	NUDCD2
TIMMDC1	0.00156337300462687	0.268040941272569	0.571	0.089	1	motor	TIMMDC1
MAP1LC3B	0.0015809959794203	0.90825743516785	1	0.375	1	motor	MAP1LC3B
LDHB	0.00162019250845957	0.67190693754152	1	0.768	1	motor	LDHB
PDHA1	0.00164591324743452	0.884136019900245	1	0.268	1	motor	PDHA1
KALRN	0.00166808248977852	0.42248430688006	0.714	0.125	1	motor	KALRN
TMEM230	0.00168151806887155	0.626101863908762	1	0.25	1	motor	TMEM230
MAVS	0.00168366414022255	0.480434550950006	0.286	0.018	1	motor	MAVS
PIP4K2C	0.00168366414022255	0.313359335469976	0.286	0.018	1	motor	PIP4K2C
NUS1	0.00168366414022255	0.30159625630597	0.286	0.018	1	motor	NUS1
MEGF9	0.00168366414022255	0.30159625630597	0.286	0.018	1	motor	MEGF9
SPOCK3	0.00168366414022255	0.291668359416722	0.286	0.018	1	motor	SPOCK3
C16orf58	0.00168366414022255	0.291668359416722	0.286	0.018	1	motor	C16orf58
TRAM2-AS1	0.00168366414022255	0.260558986953229	0.286	0.018	1	motor	TRAM2-AS1
EPN2	0.00168366414022255	0.253401503857691	0.286	0.018	1	motor	EPN2
UCHL1	0.00169104892899185	0.751688050383101	1	0.893	1	motor	UCHL1
FBXO2	0.00169632633464442	0.652585189093025	0.714	0.143	1	motor	FBXO2
INAFM1	0.00169632633464442	0.63778284417628	0.714	0.143	1	motor	INAFM1
C8orf59	0.00169632633464442	0.628823459608178	0.714	0.143	1	motor	C8orf59
BAALC	0.00169632633464442	0.566263663445013	0.714	0.143	1	motor	BAALC
ARL6IP4	0.00172348625021238	0.653388312950238	0.857	0.196	1	motor	ARL6IP4
RAP2A	0.0017670963811433	0.398082883126481	0.571	0.089	1	motor	RAP2A
FYTTD1	0.00176770550396605	0.44039609642972	0.571	0.089	1	motor	FYTTD1
NHLRC3	0.00176770550396605	0.34905820193788	0.571	0.089	1	motor	NHLRC3
ANAPC5	0.00176770550396605	0.336812610124215	0.571	0.089	1	motor	ANAPC5
MRPL17	0.00176770550396605	0.331159993863579	0.571	0.089	1	motor	MRPL17
FUBP1	0.00176770550396605	0.304433181529283	0.571	0.089	1	motor	FUBP1
PUM1	0.00176770550396605	0.292575452695399	0.571	0.089	1	motor	PUM1
PLTP	0.00176770550396605	0.290518909845039	0.571	0.089	1	motor	PLTP
B3GAT3	0.00176770550396605	0.259174749369226	0.571	0.089	1	motor	B3GAT3
SEMA3A	0.00176770550396605	0.259001499775248	0.571	0.089	1	motor	SEMA3A
COPS8	0.00179657350063105	0.593163382285793	1	0.268	1	motor	COPS8
SKAP2	0.00185086737466527	0.698063973500344	0.429	0.054	1	motor	SKAP2
TENM3	0.00185086737466527	0.599131237566574	0.429	0.054	1	motor	TENM3
EHMT1	0.00185086737466527	0.521954588557758	0.429	0.054	1	motor	EHMT1
RP11-771K4.1	0.00185086737466527	0.505420818535067	0.429	0.054	1	motor	RP11-771K4.1
KIAA1033	0.00185086737466527	0.478726862948161	0.429	0.054	1	motor	KIAA1033
RBSN	0.00185086737466527	0.431961038809543	0.429	0.054	1	motor	RBSN
HSD17B12	0.00186743252231537	0.696361860146015	0.714	0.161	1	motor	HSD17B12
ATP6V1B2	0.00188427871893766	0.52909521939313	0.714	0.143	1	motor	ATP6V1B2
SNRNP70	0.00191680188348034	0.417805674334721	0.857	0.179	1	motor	SNRNP70
ATAT1	0.00195981678270608	0.592527778273761	1	0.268	1	motor	ATAT1
LHX5	0.00199633627576558	0.460185018220664	0.571	0.089	1	motor	LHX5
FGF9	0.00199633627576558	0.328614534277248	0.571	0.089	1	motor	FGF9
ZCCHC11	0.00199633627576558	0.31067999832882	0.571	0.089	1	motor	ZCCHC11
KLHL23	0.00199633627576558	0.271981652578653	0.571	0.089	1	motor	KLHL23
LZIC	0.00199633627576558	0.267884998542126	0.571	0.089	1	motor	LZIC
DEAF1	0.00202854787718113	0.749312906296888	0.857	0.214	1	motor	DEAF1
CCL3L3	0.00205790744372981	0.660193965186118	0.286	0.018	1	motor	CCL3L3
AP3B1	0.00205790744372981	0.64644148329844	0.286	0.018	1	motor	AP3B1
GPR108	0.00205790744372981	0.578643668503703	0.286	0.018	1	motor	GPR108
MED20	0.00205790744372981	0.5703808355769	0.286	0.018	1	motor	MED20
TCN2	0.00205790744372981	0.5703808355769	0.286	0.018	1	motor	TCN2
MLLT10	0.00205790744372981	0.566037386448697	0.286	0.018	1	motor	MLLT10
MTHFD1	0.00205790744372981	0.545282366983751	0.286	0.018	1	motor	MTHFD1
CCDC149	0.00205790744372981	0.539612873122528	0.286	0.018	1	motor	CCDC149
XPO5	0.00205790744372981	0.535119508664311	0.286	0.018	1	motor	XPO5
DTNB	0.00205790744372981	0.5280253885736	0.286	0.018	1	motor	DTNB
