cl.from	cl.to	Freq	cl.from.total	cl.to.total	odds	pval.log	frac	cl.from.label	cl.to.label
33	29	54	79867	5170	0.5103925798884359	-7.644893018887906e-9	6.761240562435048e-4	rg-PFC	opc-temporal
34	29	11	89514	5170	0.09276404641803326	-1.536381628964262e-38	1.228858055723127e-4	rg-somatosensory	opc-temporal
35	29	410	77453	5170	3.9959824890123046	-274.33136031394093	0.005293532852181323	rg-temporal	opc-temporal
36	29	30	78442	5170	0.28870251040365075	-1.956341019562087e-18	3.8244817827184414e-4	rg-V1	opc-temporal
1	30	3	495	7881	3.0012573392855084	-2.5253960497904604	0.006060606060606061	cr-motor	opc-V1
3	30	1	1410	7881	0.35121096523553824	-0.05954268971137677	7.092198581560284e-4	cr-PFC	opc-V1
6	30	1	1035	7881	0.4784613149585593	-0.1316904783935252	9.66183574879227e-4	cr-V1	opc-V1
7	30	29	93134	7881	0.1541973540112221	-6.426093030415551e-49	3.113793029398501e-4	dividing-motor	opc-V1
8	30	51	88203	7881	0.28633471095186735	-2.1723685653758398e-30	5.782116254549165e-4	dividing-parietal	opc-V1
9	30	46	47201	7881	0.4826072160584947	-5.9733527557939526e-09	9.745556238215292e-4	dividing-PFC	opc-V1
10	30	25	89922	7881	0.13767694807224842	-7.368585882122053e-50	2.780187273414737e-4	dividing-somatosensory	opc-V1
11	30	8	67397	7881	0.058780950010488164	-4.273959915881533e-49	1.186996453848094e-4	dividing-temporal	opc-V1
12	30	115	91245	7881	0.6241312730883064	-1.2206980706061328e-8	0.0012603430324949311	dividing-V1	opc-V1
13	30	2	77471	7881	0.012784331194436857	-3.247202474408502e-67	2.581611183539647e-5	ipc-motor	opc-V1
14	30	8	163797	7881	0.024186399554673596	-1.500742446960252e-133	4.884094336282105e-5	ipc-parietal	opc-V1
15	30	4	91057	7881	0.021753734956438665	-1.4794295931768744e-75	4.3928528284481146e-5	ipc-PFC	opc-V1
16	30	8	114781	7881	0.034514943133940906	-4.83821463886564e-90	6.969794652425053e-5	ipc-somatosensory	opc-V1
18	30	51	144423	7881	0.17487228841727118	-2.7320512347094297e-70	3.5312934920338175e-4	ipc-V1	opc-V1
19	30	6	331906	7881	0.00895206704878084	-5.289837316900112e-293	1.8077407458738316e-5	neuron-motor	opc-V1
20	30	40	392500	7881	0.05046700239308116	-2.4673240061362336e-295	1.0191082802547771e-4	neuron-parietal	opc-V1
21	30	22	670728	7881	0.01624289449912095	-0	3.280018129554752e-5	neuron-PFC	opc-V1
22	30	15	163968	7881	0.045302204788322316	-3.686565933311718e-123	9.148126463700235e-5	neuron-somatosensory	opc-V1
23	30	14	185908	7881	0.037292125426283566	-5.588824843654443e-144	7.530606536566473e-5	neuron-temporal	opc-V1
24	30	212	331799	7881	0.3164083729251959	-5.782768300365215e-102	6.38941045633049e-4	neuron-V1	opc-V1
25	30	907	19578	7881	22.941728833934658	-2047.830427673719	0.046327510470936764	opc-motor	opc-V1
26	30	1137	35060	7881	16.059637282848197	-2187.644802645892	0.032430119794637766	opc-parietal	opc-V1
27	30	830	21248	7881	19.344041444613627	-1731.6297600163703	0.0390625	opc-PFC	opc-V1
28	30	590	21256	7881	13.745408448411942	-1029.8345665961301	0.027756868648852087	opc-somatosensory	opc-V1
29	30	136	6676	7881	10.08810885164272	-197.17727263085666	0.02037147992810066	opc-temporal	opc-V1
30	30	3163	9858	7881	158.89036306415198	-14193.980197758541	0.3208561574355853	opc-V1	opc-V1
31	30	81	71249	7881	0.5629805939669444	-3.274301435982436e-9	0.0011368580611657707	rg-motor	opc-V1
